URL,Date,Type d'URL,Type d'acteurs,Thème,Position,Poids,Lu,Position/IVG,Notes
https://twitter.com/chatoncolere/status/806538762046017537,07/12/2016,Tweet,Instance politique,Droit à l'IVG,Pour l'extension du délit d'entrave ,Moyen,Oui,Pour,
https://twitter.com/Senat_Direct/status/806526153347321856,07/12/2016,Tweet,Instance politique,Droit à l'IVG,Pour l'extension du délit d'entrave,Fort,Oui,Pour,
https://www.fondationlejeune.org/delit-dentrave-l-ivg-le-texte-modifie-demeure-gravement-liberticide/,07/12/2016,Article,Association,Juridiction,Contre l'extension du délit d'entrave,Moyen,Oui,Contre,
https://twitter.com/fandetv/status/804092420652748800,30/11/2016,Tweet,Média,Désinformation,Contre l'extension du délit d'entrave,Fort,Oui,Contre,
https://twitter.com/alexandra5688/status/803974878944776192,30/11/2016,Tweet,Particulier,Désinformation,Pour l'extension du délit d'entrave,Faible,Oui,Pour,
https://www.youtube.com/watch?v=kQgJ3e0iYPc,30/11/2016,Youtube,Association,Liberté d'expression,Contre l'extension du délit d'entrave,Fort,Non,Contre,
https://www.youtube.com/watch?v=8W8QSHeNttA,02/12/2016,Youtube,Association,Liberté d'expression,Contre l'extension du délit d'entrave,Faible,Non,Contre,
https://www.youtube.com/watch?v=G1sgf4XCunI,01/12/2016,Youtube,Média,Désinformation,Pour l'extension du délit d'entrave,Moyen,Non,Pour,
https://www.youtube.com/watch?v=0CuXY9KOHwI,23/11/2016,Youtube,Instance politique,Droit à l'IVG,Pour l'extension du délit d'entrave,Moyen,Oui,Pour,
https://www.youtube.com/watch?v=ikrqPkQPyhc,28/11/2016,Youtube,Association,Droit à l'IVG,Pour l'extension du délit d'entrave,Fort,Oui,Pour,
https://www.youtube.com/watch?v=Gc6XErDmThg,30/11/2016,Youtube,Militante féministe,Désinformation,Pour l'extension du délit d'entrave,Moyen,Oui,Pour,
https://www.youtube.com/watch?v=M3u0raHqOcw,01/12/2016,Youtube,Religieux,Liberté d'expression,Contre l'extension du délit d'entrave,Moyen,Oui,Contre,
https://www.youtube.com/watch?v=ghB-ou1W0jc,02/12/2016,Youtube,Média,Désinformation,Pour l'extension du délit d'entrave,Fort,Oui,Pour,
https://www.youtube.com/watch?v=mYOFYGS7A3I,07/12/2016,Youtube,Militante féministe,Alternatives à l'IVG,Contre l'extension du délit d'entrave,Faible,Non,Contre,
https://www.youtube.com/watch?v=F_SBvA0fyFs,18/04/2017,Youtube,Instance politique,Liberté d'expression,Contre l'extension du délit d'entrave,Fort,Oui,Pour,Marine Lepen s'exprime sur le sujet
https://www.youtube.com/watch?v=w7-dyYHO5HE,09/12/2016,Youtube,Religieux,Liberté d'expression,Contre l'extension du délit d'entrave,Faible,Oui,Contre,
https://www.youtube.com/watch?v=tJuCvA4N33c,30/11/2016,Youtube,Instance politique,Alternatives à l'IVG,Contre l'extension du délit d'entrave,Moyen,Oui,Pour,Extrait d'un discours de Simone Weil
https://www.youtube.com/watch?v=pp1GB-8UjH8,07/12/2016,Youtube,Instance politique,Droit à l'IVG,Pour l'extension du délit d'entrave,Fort,Oui,Pour,Laurence Rossignol à 
https://www.youtube.com/watch?v=BdwFH9N73v0,30/11/2016,Youtube,Association,Désinformation,Contre l'extension du délit d'entrave,Fort,Oui,Contre,Emission radio
https://www.michelledastier.com/delit-dentrave-a-li-v-g-un-projet-de-loi-terriblement-inquietant/,04/10/2016,Blog,Religieux,Droit à l'IVG,Contre l'extension du délit d'entrave,Faible,Non,Contre,Remet en cause l'avortement plus généralement
http://www.citizengo.org/fr/37540-defendons-liberte-dexpression-contre-le-delit-dentrave-numerique-sur-livg?dr=196737::922526fac366fd34d9f2221b3a9dd6d8&utm_source=email&mkt_tok=eyJpIjoiTXpJeE5qTXhORGhrTURndyIsInQiOiJDRUx0WUxBSVN0cFFKQ1lrQkFXR2RxTW9GNHNBSnhnWk52Rk1zSnNZZ1pobUVING10RzdFS3NrTVJ4YVwvam9KY3g0UmxYWTAyQ2IxOEtnT0pDN1g5UVhJaWlRZ0JsMHdTWTVPaFpHOFZtZGM9In0%3D,29/11/2016,Plateforme de pétitions,Association,Liberté d'expression,Contre l'extension du délit d'entrave,Fort,Non,Contre,34.000 signataires
https://www.youtube.com/watch?v=xg3cy4fPZrI,12/11/2016,Youtube,Particulier,Alternatives à l'IVG,Contre l'extension du délit d'entrave,Moyen,Oui,Pour,
https://twitter.com/auroreberge/status/804685513148002304,02/12/201§,Tweet,Instance politique,Désinformation,Pour l'extension du délit d'entrave,Fort,Oui,Pour,
http://www.huffingtonpost.fr/corinne-narassiguin/avortement-droits-des-femmes-laicite_b_12271656.html,30/09/2016,Article,Instance politique,Laicité,Pour l'extension du délit d'entrave,Fort,Non,Pour,Article de la porte-parole du parti socialiste
https://twitter.com/Catseyes357/status/806035577741148160,05/12/2016,Tweet,Particulier,Désinformation,Pour l'extension du délit d'entrave,Faible,Oui,Pour,
https://twitter.com/osezlefeminisme/status/804269814344581120,01/12/2016,Tweet,Association,Droit à l'IVG,Pour l'extension du délit d'entrave,Fort,Oui,Pour,
https://twitter.com/laquadrature/status/804269314589200384,01/12/2016,Tweet,Association,Liberté d'expression,Contre l'extension du délit d'entrave,Fort,Oui,Pour,Position de la quadrature du net sur la loi
